key	en_us	zh_cn	zh_tw	zh_hk	ja_jp
advancements.husbandry.root.description	The world is full of friends and food	这个世界充满朋友与美食	這個世界充滿朋友與食物	這個世界充滿朋友與美食	この世界は友達と食べ物でいっぱいです
advancements.husbandry.root.title	Husbandry	农牧业	農牧	農牧	農業
advancements.husbandry.safely_harvest_honey.description	Use a Campfire to collect Honey from a Beehive using a Glass Bottle without aggravating the Bees	利用营火在不惊动蜜蜂的情况下从蜂巢收集蜂蜜	使用營火以在不激怒蜜蜂的情況下用玻璃瓶從蜂窩中取得蜂蜜	用營火及玻璃樽獲取蜜糖，過程中不激怒蜂巢中的蜜蜂	焚き火を利用して、ミツバチを怒らせずにガラス瓶にハチミツを採取する
advancements.husbandry.safely_harvest_honey.title	Bee Our Guest	与蜂共舞	待客蜂範	待客「蜂」範	秘蜜の晩餐会
advancements.husbandry.silk_touch_nest.description	Move a Bee Nest or Beehive, with 3 Bees inside, using Silk Touch	用精准采集移动住着3只蜜蜂的蜂巢或蜂箱	使用絲綢之觸來移動裡面有3隻蜜蜂的蜂窩或蜂箱	用絲綢之觸搬運裝有 3 隻蜜蜂的蜂巢或蜂箱	シルクタッチを使用して、3匹のミツバチが中に入っているミツバチの巣または養蜂箱を移動する
advancements.husbandry.silk_touch_nest.title	Total Beelocation	举巢搬迁	蜂裝物流	「蜂」裝物流	綿蜜な引越し
advancements.husbandry.tactical_fishing.description	Catch a Fish... without a Fishing Rod!	不用钓鱼竿抓住一条鱼！	釣魚... 不用釣竿！	釣魚⋯⋯但不用魚竿！	魚を捕まえる…釣竿なしで！
advancements.husbandry.tactical_fishing.title	Tactical Fishing	战术性钓鱼	戰術性捕魚	戰術性捕魚	戦術的漁業
advancements.husbandry.tadpole_in_a_bucket.description	Catch a Tadpole in a Bucket	用铁桶捕获一只蝌蚪	用鐵桶捕捉一隻蝌蚪	用鐵桶捉住一隻蝌蚪	バケツでオタマジャクシを捕まえる
advancements.husbandry.tadpole_in_a_bucket.title	Bukkit Bukkit	蚪到桶里来	通通進桶	通通入桶	おけおけ
advancements.husbandry.tame_an_animal.description	Tame an animal	驯服一只动物	馴服一隻動物	馴服一隻動物	動物を手懐ける
advancements.husbandry.tame_an_animal.title	Best Friends Forever	永恒的伙伴	永遠的好搭檔	最佳拍檔	永遠の親友となるだろう
advancements.husbandry.uh_oh.description	Have a Sulfur Cube absorb a TNT block	让硫方怪吸收TNT方块	讓硫磺立方怪吸收 TNT 方塊	令硫磺石萊姆吸收 TNT 方塊	サルファーキューブにTNTブロックを吸収させる
advancements.husbandry.uh_oh.title	Uh Oh	坏了	不妙	弊喇	あ、まずい
advancements.husbandry.wax_off.description	Scrape Wax off of a Copper block!	给铜质方块脱蜡！	刮除銅方塊上的蠟！	幫銅磚除蠟！	銅ブロックの錆止めをこすり落とす！
advancements.husbandry.wax_off.title	Wax Off	脱蜡	除蠟	除蠟	錆止め落とし
advancements.husbandry.wax_on.description	Apply Honeycomb to a Copper block!	将蜜脾涂到铜质方块上！	為銅方塊塗上蜂蠟！	將蜂巢蜜塗在銅磚上面！	銅ブロックにハニカムを塗る！
advancements.husbandry.wax_on.title	Wax On	涂蜡	上蠟	打蠟	錆止め
advancements.husbandry.whole_pack.description	Tame one of each Wolf variant	驯服所有种类的狼	馴服所有種類的狼	馴服所有種類的狼	すべての種類のオオカミを手懐ける
advancements.husbandry.whole_pack.title	The Whole Pack	群狼聚首	琳狼滿目	羣狼聚首	ワンチーム
advancements.nether.all_effects.description	Have every effect applied at the same time	同时拥有所有状态效果	同時擁有所有狀態效果	同時擁有所有狀態效果	すべての種類の効果の付与を同時に受ける
advancements.nether.all_effects.title	How Did We Get Here?	为什么会变成这样呢？	我們是如何走到這地步的？	點解會變成噉樣？	どうやってここまで？
advancements.nether.all_potions.description	Have every potion effect applied at the same time	同时拥有所有药水效果	同時擁有所有藥水的效果	同時擁有所有藥水效果	すべての種類のポーション効果の付与を同時に受ける
advancements.nether.all_potions.title	A Furious Cocktail	狂乱的鸡尾酒	猛烈的雞尾酒	杯酒有啲勁	猛烈なカクテル
advancements.nether.brew_potion.description	Brew a Potion	酿造一瓶药水	釀造一瓶藥水	釀造一樽藥水	ポーションを醸造する
advancements.nether.brew_potion.title	Local Brewery	本地酿造厂	道地的釀造坊	自家釀造廠	町のお薬屋さん
advancements.nether.charge_respawn_anchor.description	Charge a Respawn Anchor to the maximum	为重生锚充满能量	將重生錨充滿能量	將重生錨充滿能量	リスポーンアンカーを最大までチャージする
advancements.nether.charge_respawn_anchor.title	Not Quite "Nine" Lives	锚没有九条命	非言「九」命	唔似「九」條命	人に九生なし
advancements.nether.create_beacon.description	Construct and place a Beacon	建造并放置一个信标	建造及放置烽火台	建造並放置燈標	ビーコンを組み立てて起動させる
advancements.nether.create_beacon.title	Bring Home the Beacon	带信标回家	為家庭帶來光明	家有光明	生活のビーコン
advancements.nether.create_full_beacon.description	Bring a Beacon to full power	让一座信标发挥最大功效	令烽火台全力運作	令燈標全力運作	最大パワーのビーコンを作る
advancements.nether.create_full_beacon.title	Beaconator	信标工程师	引導者	引導者	ビーコネーター
advancements.nether.distract_piglin.description	Distract Piglins with gold	用金质物品让猪灵分神	用黃金使豬布林分心	用黃金令到豬人分心	金でピグリンの気をそらす
advancements.nether.distract_piglin.title	Oh Shiny	金光闪闪	金光閃閃	金光閃閃	わーいぴかぴか！
advancements.nether.explore_nether.description	Explore all Nether biomes	探索所有下界生物群系	探索地獄所有的生態域	探索所有地獄生物羣落	すべての種類のネザーのバイオームを発見する
advancements.nether.explore_nether.title	Hot Tourist Destinations	热门景点	熱門景點	熱門景點	ホットな観光地
advancements.nether.fast_travel.description	Use the Nether to travel 7 km in the Overworld	利用下界移动对应主世界7千米的距离	利用地獄在主世界旅行至七公里外	用地獄的特性移動對應主世界 7 公里的距離	ネザーを利用して7km先のオーバーワールドへ移動する
advancements.nether.fast_travel.title	Subspace Bubble	曲速泡	子空間氣泡	子空間泡泡	亜空間バブル
advancements.nether.find_bastion.description	Enter a Bastion Remnant	进入堡垒遗迹	進入堡壘遺蹟	進入堡壘遺跡	砦の遺跡へ入る
advancements.nether.find_bastion.title	Those Were the Days	光辉岁月	今非昔比	光輝歲月	兵どもが夢の跡
advancements.nether.find_fortress.description	Break your way into a Nether Fortress	闯入下界要塞	用自己的方式進入地獄要塞	闖入地獄要塞	ネザー要塞に侵入する
advancements.nether.find_fortress.title	A Terrible Fortress	阴森的要塞	可怕的要塞	陰森要塞	恐ろしい要塞
advancements.nether.get_wither_skull.description	Obtain a Wither Skeleton's skull	获得凋灵骷髅的头颅	取得凋零骷髏的頭顱	獲取凋零骷髏骨的頭顱	ウィザースケルトンの頭蓋骨を手に入れる
advancements.nether.get_wither_skull.title	Spooky Scary Skeleton	惊悚恐怖骷髅头	詭異又恐怖的骷髏	詭異恐怖骷髏骨	不気味で怖いスケルトン
advancements.nether.loot_bastion.description	Loot a Chest in a Bastion Remnant	掠夺堡垒遗迹里的箱子	掠奪一個堡壘遺蹟裡的儲物箱	掠奪一個堡壘遺跡內的儲物箱	砦の遺跡にあるチェストを開く
advancements.nether.loot_bastion.title	War Pigs	战猪	戰豬	戰豬	ブタ戦争
advancements.nether.netherite_armor.description	Get a full suit of Netherite armor	获得一整套下界合金盔甲	取得全套獄髓盔甲	得到全套地獄合金盔甲	ネザライトの防具一式を手に入れる
advancements.nether.netherite_armor.title	Cover Me in Debris	残骸裹身	以瓦礫為壁壘	用殘骸包住我	残骸で私を覆って
advancements.nether.obtain_ancient_debris.description	Obtain Ancient Debris	获得远古残骸	取得遠古遺骸	獲取遠古殘骸	古代の残骸を手に入れる
advancements.nether.obtain_ancient_debris.title	Hidden in the Depths	深藏不露	深藏不露	深藏不露	深淵に隠されしもの
advancements.nether.obtain_blaze_rod.description	Relieve a Blaze of its rod	让烈焰人从烈焰棒中解放吧	讓烈焰使者從烈焰桿中解脫	令烈焰使者在烈焰棒中解脱	ブレイズロッドを手に入れる
advancements.nether.obtain_blaze_rod.title	Into Fire	与火共舞	與火共舞	與火共舞	炎の中へ
advancements.nether.obtain_crying_obsidian.description	Obtain Crying Obsidian	获得哭泣的黑曜石	取得哭泣的黑曜石	得到哭曜石	泣く黒曜石を手に入れる
advancements.nether.obtain_crying_obsidian.title	Who is Cutting Onions?	谁在切洋葱？	是誰在切洋蔥？	邊個切緊洋葱？	玉ねぎを切っているのは誰？
advancements.nether.return_to_sender.description	Destroy a Ghast with a fireball	用一团火球干掉一只恶魂	使用火球殺死地獄幽靈	用火球殺死一隻地獄幽靈	火の玉をガストに打ち返す
advancements.nether.return_to_sender.title	Return to Sender	见鬼去吧	以牙還牙	禮尚往來	差出人に返送
advancements.nether.ride_strider_in_overworld_lava.description	Take a Strider for a loooong ride on a lava lake in the Overworld	带炽足兽在主世界的熔岩湖上来一场长——途旅行	在主世界的熔岩湖上和熾足獸來一段長～～途旅行	在主世界的熔巖湖上和熾足獸來一段超長途旅行	オーバーワールドの溶岩湖で長ーーーくストライダーを乗りこなす
advancements.nether.ride_strider_in_overworld_lava.title	Feels Like Home	温暖如家	溫暖如家	温暖如家	実家のような安心感
advancements.nether.ride_strider.description	Ride a Strider with a Warped Fungus on a Stick	手持诡异菌钓竿骑乘炽足兽	利用扭曲蕈菇釣竿騎乘熾足獸	用迷離菌菇魚竿策騎熾足獸	歪んだキノコ付きの棒を持ってストライダーに乗る
advancements.nether.ride_strider.title	This Boat Has Legs	画船添足	行舟	畫船添足	足のついたボート
advancements.nether.root.description	Bring summer clothes	记得带夏装	攜帶夏季服飾	記得帶上夏裝	夏服を持って来る
advancements.nether.root.title	Nether	下界	地獄	地獄	ネザー
advancements.nether.summon_wither.description	Summon the Wither	召唤凋灵	召喚凋零怪	召喚凋零怪	ウィザーを召喚する
advancements.nether.summon_wither.title	Withering Heights	凋零山庄	凋零山莊	凋零山莊	荒が丘
advancements.nether.uneasy_alliance.description	Rescue a Ghast from the Nether, bring it safely home to the Overworld... and then kill it	从下界救出一只恶魂，将其安全地带到主世界……然后干掉它	將地獄幽靈從地獄安全的救回主世界 ... 然後讓它解脫	將地獄幽靈從地獄安全帶去主世界⋯⋯之後再殺死它	ガストをネザーから救出し、安全にオーバーワールドに持ち帰り…そして倒す。
advancements.nether.uneasy_alliance.title	Uneasy Alliance	脆弱的同盟	不安的同盟	有內鬼！	不安な同盟
advancements.nether.use_lodestone.description	Use a Compass on a Lodestone	对着磁石使用指南针	對磁石使用羅盤	對磁石用指南針	ロードストーンにコンパスを使用する
advancements.nether.use_lodestone.title	Country Lode, Take Me Home	天涯共此石	天涯共此石	針尖指，遊子思	この道をずっとゆけば
advancements.progress	%s/%s	%s/%s	%s/%s	%s/%s	%s／%s
